year,month,value
2003,07,0.02
2003,08,0.47
2003,09,0.19
2003,10,0.42
2003,11,0.04
2003,12,0.13
2004,01,0.08
2004,02,-0.03
2004,03,-0.12
2004,04,-0.42
2004,05,-0.61
2004,06,-0.3
2004,07,-0.35
2004,08,0.11
2004,09,0.43
2004,10,0.56
2004,11,0.48
2004,12,0.07
2005,01,0.37
2005,02,0.08
2005,03,0.25
2005,04,0.3
2005,05,-0.41
2005,06,-0.7
2005,07,-0.53
2005,08,-0.36
2005,09,-0.08
2005,10,-0.09
2005,11,0.12
2005,12,-0.02
2006,01,-0.18
2006,02,-0.06
2006,03,-0.14
2006,04,-0.07
2006,05,-0.28
2006,06,0.47
2006,07,0.21
2006,08,0.01
2006,09,0.03
2006,10,0.02
2006,11,0.27
2006,12,0.24
2007,01,0.05
2007,02,0.22
2007,03,-0.03
2007,04,-0.04
2007,05,0.11
2007,06,0.31
2007,07,0.41
2007,08,0.45
2007,09,0.41
2007,10,0.06
2007,11,0.04
2007,12,-0.08
2008,01,0.25
2008,02,-0.04
2008,03,0.09
2008,04,-0.22
2008,05,0.07
2008,06,-0.11
2008,07,0.15
2008,08,0.37
2008,09,0.29
2008,10,0.48
2008,11,0.21
2008,12,0.02
2009,01,0.13
2009,02,-0.38
2009,03,-0.06
2009,04,-0.09
2009,05,0.14
2009,06,0.26
2009,07,0.15
2009,08,-0.01
2009,09,0.12
2009,10,-0.08
2009,11,-0.05
2009,12,0.43
2010,01,0.41
2010,02,0.61
2010,03,0.49
2010,04,0.42
2010,05,-0.18
2010,06,-0.1
2010,07,0.04
2010,08,0.18
2010,09,-0.02
2010,10,0.18
2010,11,0.05
2010,12,0.16
2011,01,-0.08
2011,02,-0.01
2011,03,-0.24
2011,04,-0.07
2011,05,-0.65
2011,06,-0.29
2011,07,-0.4
2011,08,-0.06
2011,09,-0.57
2011,10,-0.4
2011,11,-0.57
2011,12,-0.68
2012,01,-0.14
2012,02,-0.93
2012,03,-0.32
2012,04,-0.48
2012,05,-0.23
2012,06,-0.02
2012,07,0.04
2012,08,-0.12
2012,09,0.31
2012,10,0.38
2012,11,0.11
2012,12,0.02
2013,01,0.43
2013,02,0.52
2013,03,0.22
2013,04,0.51
2013,05,-0.09
2013,06,0.13
2013,07,-0.13
2013,08,-0.18
2013,09,-0.16
2013,10,-0.4
2013,11,-0.26
2013,12,-0.19
2014,01,-0.11
2014,02,0.19
2014,03,-0.15
2014,04,0.18
2014,05,0.32
2014,06,0.23
2014,07,0.17
2014,08,0.12
2014,09,0.07
2014,10,0.02
2014,11,-0.25
2014,12,-0.11
2015,01,-0.22
2015,02,0
2015,03,0.01
2015,04,0.31
2015,05,0.46
2015,06,-0.09
2015,07,0.23
2015,08,0.11
2015,09,0.03
2015,10,0.35
2015,11,0.48
2015,12,0.5
2016,01,0.63
2016,02,0.08
2016,03,0.72
2016,04,0.24
2016,05,0.49
2016,06,0.36
2016,07,0.37
2016,08,0.53
2016,09,0.6
2016,10,0.84
2016,11,0.79
2016,12,0.28
2017,01,0.4
2017,02,0.43
2017,03,0.21
2017,04,0.24
2017,05,0.47
2017,06,0.29
2017,07,0.42
2017,08,0.48
2017,09,0.52
2017,10,0.65
2017,11,0.6
2017,12,0.07
2018,01,0.54
2018,02,0.09
2018,03,0.06
2018,04,0.12
2018,05,-0.03
2018,06,0.02
2018,07,0.54
2018,08,0.58
2018,09,0.25
2018,10,-0.03
2018,11,0.27
2018,12,0.62
2019,01,0.9
2019,02,0.63
2019,03,0.25
2019,04,0.75
2019,05,0.53
2019,06,0.34
2019,07,0.45
2019,08,0.88
2019,09,0.6
2019,10,0.43
2019,11,0.83
2019,12,0.99
2020,01,1.13
2020,02,0.97
2020,03,0.52
2020,04,0.6
2020,05,0.35
2020,06,0.13
2020,07,0.18
2020,08,0.19
2020,09,-0.18
2020,10,0.16
2020,11,0.18
2020,12,0.18
2021,01,0.19
2021,02,0.28
2021,03,-0.21
2021,04,0.16
2021,05,0.16
2021,06,0.83
2021,07,0.88
2021,08,0.78
2021,09,0.74
2021,10,0.7
2021,11,0.55
2021,12,0.36
2022,01,0.13
2022,02,0.05
2022,03,0.14
