year,month,value
1909,04,-1.36
1909,05,-0.97
1909,06,-1.3
1909,07,-1.13
1909,08,-1.24
1909,09,-0.9
1909,10,-1.01
1909,11,-0.73
1909,12,-1.32
1910,01,-1.26
1910,02,-0.64
1910,03,-1.06
1910,04,-0.9
1910,05,-0.72
1910,06,-0.54
1910,07,-0.95
1910,08,-1.02
1910,09,-0.91
1910,10,-1.37
1910,11,-0.93
1910,12,-1.03
1911,01,-1.59
1911,02,-1.15
1911,03,-1.79
1911,04,-1.75
1911,05,-2.04
1911,06,-1.77
1911,07,-1.92
1911,08,-2.02
1911,09,-1.68
1911,10,-1.81
1911,11,-1.34
1911,12,-1.46
1912,01,-1.12
1912,02,-0.82
1912,03,-0.82
1912,04,-0.79
1912,05,-0.99
1912,06,-1.31
1912,07,-1.72
1912,08,-2.06
1912,09,-2.07
1912,10,-1.13
1912,11,-0.96
1912,12,-1.14
1913,01,-0.67
1913,02,-0.98
1913,03,-1.02
1913,04,-1.36
1913,05,-0.95
1913,06,-0.76
1913,07,-0.76
1913,08,-0.84
1913,09,-0.91
1913,10,-0.92
1913,11,-0.91
1913,12,-0.97
1914,01,-0.97
1914,02,-1.06
1914,03,-1.09
1914,04,-0.71
1914,05,-1.33
1914,06,-1.46
1914,07,-1.84
1914,08,-2.36
1914,09,-2.33
1914,10,-0.83
1914,11,-0.65
1914,12,-0.62
1915,01,-1.56
1915,02,-1.11
1915,03,-0.33
1915,04,0.06
1915,05,-0.08
1915,06,-0.32
1915,07,-0.59
1915,08,-1.4
1915,09,-0.89
1915,10,-0.7
1915,11,-0.84
1915,12,-0.64
1916,01,-0.55
1916,02,-0.46
1916,03,-0.71
1916,04,-0.75
1916,05,-1.15
1916,06,-1.34
1916,07,-0.48
1916,08,-0.76
1916,09,-0.43
1916,10,-0.22
1916,11,-0.34
1916,12,-0.48
1917,01,-1.1
1917,02,-1.29
1917,03,-1.02
1917,04,-0.63
1917,05,-0.78
1917,06,-0.16
1917,07,0.69
1917,08,0.74
1917,09,0.27
1917,10,-0.01
1917,11,-0.19
1917,12,-0.3
1918,01,-0.76
1918,02,-0.4
1918,03,-1.12
1918,04,-1.63
1918,05,-2.04
1918,06,-3.38
1918,07,-1.41
1918,08,-1.38
1918,09,-1.54
1918,10,-1.35
1918,11,-0.53
1918,12,-0.71
1919,01,-0.58
1919,02,-1.11
1919,03,-0.85
1919,04,-1.29
1919,05,-1.97
1919,06,-2.07
1919,07,-1.92
1919,08,-2.27
1919,09,-1.39
1919,10,-1.24
1919,11,-1.16
1919,12,-1.27
1920,01,-0.49
1920,02,-0.39
1920,03,-0.25
1920,04,-0.85
1920,05,-2.12
1920,06,-1.41
1920,07,-1.08
1920,08,-1.34
1920,09,-1.42
1920,10,-1.37
1920,11,-0.96
1920,12,-1.07
1921,01,-1.15
1921,02,-1.1
1921,03,-0.98
1921,04,-0.18
1921,05,-0.44
1921,06,-0.38
1921,07,-0.18
1921,08,-0.38
1921,09,-0.31
1921,10,-0.56
1921,11,-0.87
1921,12,-0.98
1922,01,-1.01
1922,02,-0.76
1922,03,-0.85
1922,04,-1.13
1922,05,-1.29
1922,06,-1.17
1922,07,-1.57
1922,08,-1.21
1922,09,-0.98
1922,10,-1.4
1922,11,-1.26
1922,12,-1.27
1923,01,-1.19
1923,02,-1.34
1923,03,-1.35
1923,04,-1.25
1923,05,-1.43
1923,06,-1.43
1923,07,-1.77
1923,08,-2.35
1923,09,-2.08
1923,10,-1.06
1923,11,-0.94
1923,12,-0.5
1924,01,-0.74
1924,02,-0.68
1924,03,-0.35
1924,04,-0.69
1924,05,-0.61
1924,06,-0.37
1924,07,-0.7
1924,08,-1.02
1924,09,-1.09
1924,10,-1.28
1924,11,-1.34
1924,12,-1.17
1925,01,-1.67
1925,02,-1.59
1925,03,-1.42
1925,04,-0.99
1925,05,-0.69
1925,06,-0.53
1925,07,-0.63
1925,08,-0.83
1925,09,-1.16
1925,10,-1.8
1925,11,-1.29
1925,12,-0.75
1926,01,-0.99
1926,02,-0.38
1926,03,-0.52
1926,04,-0.37
1926,05,-0.91
1926,06,-0.6
1926,07,-0.89
1926,08,-1.07
1926,09,-0.61
1926,10,-0.25
1926,11,-0.74
1926,12,-0.6
1927,01,-0.77
1927,02,-0.77
1927,03,-0.77
1927,04,-0.65
1927,05,-0.55
1927,06,-0.35
1927,07,-0.99
1927,08,-1.13
1927,09,-1
1927,10,-0.69
1927,11,-0.51
1927,12,-0.3
1928,01,-0.7
1928,02,-0.68
1928,03,-1.08
1928,04,-0.92
1928,05,-0.78
1928,06,-0.9
1928,07,-1.21
1928,08,-1.2
1928,09,-1.28
1928,10,-0.98
1928,11,-0.77
1928,12,-0.79
1929,01,-0.86
1929,02,-0.76
1929,03,-0.61
1929,04,-0.62
1929,05,-1.3
1929,06,-1.16
1929,07,-1.05
1929,08,-1.35
1929,09,-1.37
1929,10,-1.18
1929,11,-0.74
1929,12,-1.15
1930,01,-0.99
1930,02,-0.74
1930,03,-1.08
